,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,0,1,2,2,0,0,3,0,0,0
Acknowledgment,0,27,0,6,0,0,3,0,0,0
Continuation,0,1,1,3,0,0,2,0,0,0
dia-continuation,0,7,1,36,0,0,6,0,0,0
Question-answer complaint Pair,0,0,0,1,0,0,2,0,0,0
Conditional,0,0,0,0,0,0,1,0,0,0
Question-answer_pair,0,6,3,4,0,0,23,0,0,0
Question Extension,0,1,1,3,0,0,0,0,0,0
Correction,0,0,0,0,0,0,0,0,0,0
Contrast,0,0,0,0,0,0,0,0,0,0
