,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,0,0,0,15,0,0,0,13,0,0
Acknowledgment,0,98,0,46,0,0,1,5,0,0
Continuation,0,2,2,60,0,0,0,39,0,0
dia-continuation,0,8,1,171,0,0,0,19,0,0
Question-answer complaint Pair,0,0,0,2,0,0,0,1,0,0
Conditional,0,0,0,4,0,0,0,2,0,0
Question-answer_pair,0,36,0,95,0,0,0,11,0,0
Question Extension,0,6,3,106,0,0,0,50,0,0
Correction,0,0,0,2,0,0,0,0,0,0
Contrast,0,0,0,8,0,0,0,0,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,0,0,0,22,0,0,0,15,0,0
Acknowledgment,0,77,0,42,0,0,0,0,0,0
Continuation,0,0,1,55,0,0,0,31,0,0
dia-continuation,0,6,3,152,0,0,0,13,0,0
Question-answer complaint Pair,0,0,0,2,0,0,0,0,0,0
Conditional,0,0,0,9,0,0,0,3,0,0
Question-answer_pair,0,28,0,90,0,0,1,5,0,0
Question Extension,0,3,2,103,0,0,0,41,0,0
Correction,0,0,0,4,0,0,0,0,0,0
Contrast,0,0,0,8,0,0,0,1,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,5,0,5,1,0,0,6,11,0,0
Acknowledgment,2,82,0,15,0,0,42,9,0,0
Continuation,4,3,9,7,0,0,16,64,0,0
dia-continuation,1,13,4,72,0,0,40,68,0,0
Question-answer complaint Pair,0,0,0,0,0,0,1,2,0,0
Conditional,0,0,1,0,0,0,1,4,0,0
Question-answer_pair,1,8,1,15,0,0,94,23,0,0
Question Extension,1,3,2,23,0,0,25,111,0,0
Correction,0,0,0,0,0,0,1,1,0,0
Contrast,0,0,1,1,0,0,6,0,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,4,0,3,3,0,0,9,18,0,0
Acknowledgment,0,60,0,8,0,0,45,6,0,0
Continuation,4,1,6,4,0,0,19,53,0,0
dia-continuation,2,7,6,71,0,0,25,63,0,0
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,1,0,0,0,0,11,0,0
Question-answer_pair,4,7,3,16,0,0,77,17,0,0
Question Extension,6,0,4,24,0,0,26,89,0,0
Correction,0,0,0,2,0,0,1,1,0,0
Contrast,0,0,1,0,0,0,8,0,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,6,1,5,5,0,0,7,4,0,0
Acknowledgment,0,110,0,14,0,0,17,9,0,0
Continuation,0,4,22,29,0,0,12,36,0,0
dia-continuation,1,14,3,100,0,0,27,53,0,0
Question-answer complaint Pair,0,0,0,0,0,0,3,0,0,0
Conditional,0,0,2,1,0,0,2,1,0,0
Question-answer_pair,1,26,1,16,0,0,81,17,0,0
Question Extension,0,9,8,29,0,0,18,101,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,0,0,2,1,0,0,5,0,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,6,0,5,8,0,0,6,12,0,0
Acknowledgment,0,89,1,9,0,0,12,8,0,0
Continuation,1,2,19,22,0,0,15,28,0,0
dia-continuation,0,11,5,108,0,0,16,34,0,0
Question-answer complaint Pair,0,0,0,0,0,0,1,1,0,0
Conditional,0,0,8,2,0,0,0,2,0,0
Question-answer_pair,0,19,2,21,0,0,71,11,0,0
Question Extension,3,2,4,42,0,0,13,85,0,0
Correction,0,0,0,3,0,0,1,0,0,0
Contrast,0,1,1,0,0,0,7,0,0,0
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,16,1,3,3,0,0,3,2,0,0
Acknowledgment,6,108,0,14,0,0,16,6,0,0
Continuation,13,4,35,17,0,0,9,24,0,1
dia-continuation,10,17,10,99,0,0,20,41,0,2
Question-answer complaint Pair,1,0,0,0,0,0,2,0,0,0
Conditional,0,0,4,0,0,0,0,1,0,1
Question-answer_pair,5,29,2,19,0,0,73,14,0,0
Question Extension,6,8,18,24,0,0,11,98,0,0
Correction,0,0,0,1,0,0,0,1,0,0
Contrast,1,0,0,1,0,0,5,0,0,1
,Background,Acknowledgment,Continuation,dia-continuation,Question-answer complaint Pair,Conditional,Question-answer_pair,Question Extension,Correction,Contrast
Background,18,0,1,5,0,0,4,9,0,0
